INSPECTION_TYPE,JOB_TICKET_OR_WORK_ORDER_ID,JOB_ID,JOB_PROGRESS,BBL,BORO_CODE,BLOCK,LOT,HOUSE_NUMBER,STREET_NAME,ZIP_CODE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,BOROUGH,INSPECTION_DATE,RESULT,APPROVED_DATE,LOCATION
BAIT,1,PO12965,3,1011470035,1,01147,0035,104,WEST 76 STREET,10023,990505,223527,40.7802039792471,-73.9774144709456,Manhattan,10/14/2009 12:00:27 PM,Bait applied,10/14/2009 03:01:46 PM,"(40.7802039792471, -73.9774144709456)"
BAIT,2,PO12966,3,1011470034,1,01147,0034,102,WEST 76 STREET,10023,990516,223521,40.7801875030438,-73.977374757787,Manhattan,10/14/2009 12:51:21 PM,Bait applied,10/14/2009 03:02:30 PM,"(40.7801875030438, -73.977374757787)"
BAIT,30,PO16966,3,2043370027,2,04337,0027,620,THWAITES PLACE,10467,1020110,252216,40.8588765781972,-73.8703636422023,Bronx,11/09/2009 12:59:55 PM,Bait applied,11/10/2009 02:54:52 PM,"(40.8588765781972, -73.8703636422023)"
BAIT,31,PO13665,3,2037670077,2,03767,0077,1227,WHITEPLAINS ROAD,10472,1022441,242180,40.8313209626148,-73.861994089899,Bronx,11/09/2009 11:10:16 AM,Bait applied,11/10/2009 02:56:42 PM,"(40.8313209626148, -73.861994089899)"
BAIT,38,PO11291,3,1011690057,1,01169,0057,2199,BROADWAY,10024,989641,224567,40.7830590725833,-73.9805333640688,Manhattan,11/10/2009 08:40:42 AM,Bait applied,11/17/2009 11:39:11 AM,"(40.7830590725833, -73.9805333640688)"
BAIT,39,PO12483,3,1015340012,1,01534,0012,232,EAST 89 STREET,10128,997617,223597,40.780388216313,-73.9517343542567,Manhattan,11/10/2009 09:53:06 AM,Bait applied,11/17/2009 11:39:42 AM,"(40.780388216313, -73.9517343542567)"
BAIT,41,PO25356,3,1015860005,1,01586,0005,515,EAST 89 STREET,10128,999449,222589,40.7776185626037,-73.9451216392382,Manhattan,11/10/2009 09:00:51 AM,Bait applied,11/17/2009 11:35:04 AM,"(40.7776185626037, -73.9451216392382)"
BAIT,46,PO16381,3,2028140048,2,02814,0048,1952,ANTHONY AVENUE,10457,1011143,249042,40.8501967689145,-73.9027926637706,Bronx,11/16/2009 12:59:45 PM,Bait applied,11/16/2009 04:20:18 PM,"(40.8501967689145, -73.9027926637706)"
BAIT,48,PO11801,3,2026930022,2,02693,0022,1230,PROSPECT AVENUE,10459,1012333,240622,40.8270826259387,-73.8985265540885,Bronx,11/16/2009 12:06:24 PM,Bait applied,11/16/2009 04:19:27 PM,"(40.8270826259387, -73.8985265540885)"
BAIT,50,PO11803,3,2026930008,2,02693,0008,1198,PROSPECT AVENUE,10459,1012297,240506,40.8267643536103,-73.8986571191557,Bronx,11/16/2009 11:50:25 AM,Bait applied,11/16/2009 04:20:04 PM,"(40.8267643536103, -73.8986571191557)"
