"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-01","8.3"," 0549"," 0548","0.0","0.0","0.0",,"-2.2","-8.9","  320","  320","16.1","18.3",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-02","5.7"," 0729"," 0734","0.0","0.0","0.0",,"2.8","-5.0","  200","  200","11.6","13.4",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-03","7.4"," 1252"," 1246","0.0","0.0","0.0",,"5.0","-1.1","  310","  320","12.5","15.6",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-04","5.2"," 0110"," 0109","0.0","0.0","0.0",,"6.7","-3.3","  290","  280","10.3","12.5",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-05","4.6"," 1335"," 1334","0.3","0.0","0.0",,"7.2","2.8","  320","  320","8.0","9.8",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-06","3.5"," 2339"," 2338","0.8","0.0","0.0",,"3.9","0.0","   50","   60","6.3","7.6",,,"    1","    1","    1","    1",,,,,,"    1",,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-07","5.4"," 2358"," 2357","38.6","0.0","0.0",,"4.4","0.6","  250","  240","13.9","16.1","    1",,,,"    1","    1",,,,,"    1",,,"    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-08","10.7"," 1048"," 1047","0.0","0.0","0.0",,"5.0","-1.1","  250","  260","17.4","21.9",,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-09","8.3"," 1110"," 1426","0.0","0.0","0.0",,"2.2","-2.8","  290","  290","13.0","14.8",,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","2009-01-10","3.8"," 2213"," 2350","1.0","15.0","0.0",,"0.0","-4.4","   60","   50","7.6","9.4","    1",,,,"    1",,"    1","    1",,,,,,"    1","    1","    1",,,
